waypoint1	waypoint2	distance_m	duration_s
Other Half Brewing Company, Centre Street, Brooklyn, NY	Rockaway Brewing Company, Queens, NY	30349	4968
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Rockaway Brewing Company, Queens, NY	51450	7323
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	2263	680
Alphabet City Beer Co., Avenue C, New York, NY	Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	9341	3286
Big Alice Brewing, 43rd Road, NY	SingleCut Beersmiths, 37th Street, Queens, NY	4651	1611
Alphabet City Beer Co., Avenue C, New York, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	4236	1412
Brooklyn Brewery, North 11th Street, New York, NY	Big Alice Brewing, 43rd Road, NY	4014	1494
Brooklyn Brewery, North 11th Street, New York, NY	LIC Beer Project, Queens, NY	28764	4588
Alphabet City Beer Co., Avenue C, New York, NY	Brooklyn Brewery, North 11th Street, New York, NY	3851	1142
Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	Big Alice Brewing, 43rd Road, NY	3716	1268
