,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
497,498,115586400.0,,5000000,,,Christopher B. Landon,,,Paranormal Activity,Paranormal Activity 3,104028807.0,,2011-10-21 00:00:00,81.0,R,Horror
498,499,92053700.0,,3000000,,Tod Williams,Christopher B. Landon,,,Paranormal Activity,Paranormal Activity 2,84752907.0,,2010-10-22 00:00:00,91.0,R,Horror
499,500,58253100.0,,5000000,,,Christopher B. Landon,,,Paranormal Activity,Paranormal Activity 4,53900335.0,,2012-10-19 00:00:00,95.0,R,Horror
500,501,35480200.0,,5000000,,,,,,Paranormal Activity,Paranormal Activity: The Marked Ones,32462372.0,,2014-01-03 00:00:00,84.0,R,Horror
501,502,18300100.0,,10000000,,,,Jason Blum,,Paranormal Activity,Paranormal Activity: The Ghost Dimension,18300124.0,,2015-10-23 00:00:00,95.0,R,Horror
502,503,109216800.0,,80000000,"['Steve Martin', 'Kevin Kline', 'Beyonce Knowles', 'Jean Reno', 'Emily Mortimer']",Shawn Levy,,Robert Simonds,Christophe Beck,The Pink Panther,The Pink Panther,82226474.0,,2006-02-10 00:00:00,92.0,PG,Comedy
503,504,184333200.0,,,,,,,,The Pink Panther,Revenge of the Pink Panther,49579269.0,,1978-07-19 00:00:00,104.0,PG,Comedy
504,505,177536600.0,,,,,,,,The Pink Panther,Return of the Pink Panther,41833347.0,,1975-05-21 00:00:00,113.0,G,Comedy
505,506,41894100.0,,70000000,"['Steve Martin', 'Jean Reno', 'Emily Mortimer', 'Andy Garcia', 'Alfred Molina', 'Aishwarya Rai']",Harald Zwart,,Robert Simonds,Christophe Beck,The Pink Panther,The Pink Panther 2,35922978.0,,2009-02-06 00:00:00,92.0,PG,Action
506,507,138191900.0,,,,,,,,The Pink Panther,The Pink Panther Strikes Again,33833201.0,,1976-12-15 00:00:00,103.0,PG,Comedy
507,508,115702800.0,,,,,,,,The Pink Panther,A Shot in the Dark,12368234.0,,1964-06-23 00:00:00,102.0,PG,Comedy
508,509,101762900.0,,,,,,,,The Pink Panther,The Pink Panther,10878107.0,,1964-04-11 00:00:00,113.0,Unknown,Comedy
509,510,25949100.0,,,,Blake Edwards,,,,The Pink Panther,Trail of the Pink Panther,9056073.0,,1982-12-17 00:00:00,97.0,PG,Comedy
510,511,12406400.0,,,,,,,,The Pink Panther,Curse of the Pink Panther,4491986.0,,1983-08-12 00:00:00,110.0,PG,Comedy
511,512,5123400.0,,,,,,,,The Pink Panther,Son of the Pink Panther,2438031.0,,1993-08-27 00:00:00,93.0,PG,Comedy
512,513,562266800.0,,225000000,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport', 'Bill Nighy', 'Jonathan Pryce', 'Stellan Skarsgard', 'Tom Hollander', 'Naomie Harris', 'Geoffrey Rush* (Cameo)']",Gore Verbinski,,Jerry Bruckheimer,Hans Zimmer,Pirates of the Caribbean,Pirates of the Caribbean: Dead Man's Chest,423315812.0,,2006-07-07 00:00:00,151.0,PG-13,Period
513,514,391272900.0,,300000000,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Chow Yun-Fat', 'Geoffrey Rush', 'Jack Davenport', 'Bill Nighy', 'Jonathan Pryce', 'Stellan Skarsgard', 'Tom Hollander', 'Naomie Harris']",Gore Verbinski,,Jerry Bruckheimer,Hans Zimmer,Pirates of the Caribbean,Pirates of the Caribbean: At World's End,309420425.0,,2007-05-25 00:00:00,168.0,PG-13,Period
514,515,440645400.0,,140000000,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport', 'Jonathan Pryce', 'Zoe Saldana*']",Gore Verbinski,,Jerry Bruckheimer,,Pirates of the Caribbean,Pirates of the Caribbean: The Curse of the Black Pearl,305413918.0,,2003-07-09 00:00:00,135.0,PG-13,Period
515,516,260369300.0,,250000000,"['Johnny Depp', 'Penelope Cruz', 'Ian McShane', 'Kevin McNally', 'Astrid Berges-Frisbey', 'Sam Claflin', 'Geoffrey Rush']",Rob Marshall,,,Hans Zimmer,Pirates of the Caribbean,Pirates of the Caribbean: On Stranger Tides,241071802.0,,2011-05-20 00:00:00,137.0,PG-13,Period
517,518,188497700.0,,29000000,"['Keegan-Michael Key', 'Anna Kendrick', 'Skylar Astin', 'Rebel Wilson', 'Adam DeVine', 'Anna Camp', 'Brittany Snow', 'Hailee Steinfeld', 'Katey Sagal', 'Elizabeth Banks']",Elizabeth Banks,Kay Cannon,,Mark Mothersbaugh,Pitch Perfect Trilogy,Pitch Perfect 2,184296230.0,,2015-05-15 00:00:00,115.0,PG-13,Comedy
518,519,70261000.0,,17000000,"['Anna Kendrick', 'Brittany Snow', 'Anna Camp', 'Rebel Wilson', 'Adam DeVine', 'Elizabeth Banks', 'Christopher Mintz-Plasse*']",Jason Moore,Kay Cannon,,Christophe Beck,Pitch Perfect Trilogy,Pitch Perfect,65001093.0,,2012-09-28 00:00:00,112.0,PG-13,Comedy
520,521,224514200.0,,170000000,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Kodi Smit-McPhee', 'Judy Greer*']",Matt Reeves,,,Michael Giacchino,Planet of the Apes,Dawn of the Planet of the Apes,208545589.0,,2014-07-11 00:00:00,130.0,PG-13,Sci-Fi
521,522,276683000.0,,100000000,"['Mark Wahlberg', 'Tim Roth', 'Helena Bonham Carter', 'Michael Clarke Duncan', 'Paul Giamatti']",Tim Burton,,Ralph Winter (executive producer),Danny Elfman,Planet of the Apes,Planet of the Apes,180011740.0,,2001-07-27 00:00:00,119.0,PG-13,Sci-Fi
522,523,193722700.0,,93000000,"['James Franco', 'Freida Pinto', 'John Lithgow', 'Brian Cox', 'Tom Felton', 'Tyler Labine', 'Jamie Harris', 'Andy Serkis', 'David Oyelowo']",Rupert Wyatt,,,Patrick Doyle,Planet of the Apes,Rise of the Planet of the Apes,176760185.0,,2011-08-05 00:00:00,110.0,PG-13,Sci-Fi
523,524,216434900.0,,,,,,,Jerry Goldsmith,Planet of the Apes,Planet of the Apes,32589624.0,,1968-02-08 00:00:00,112.0,G,Sci-Fi
524,525,106643600.0,,,,,,,,Planet of the Apes,Beneath the Planet of the Apes,18999718.0,,1970-05-27 00:00:00,95.0,G,Sci-Fi
525,526,65112400.0,,,,,,,Jerry Goldsmith,Planet of the Apes,Escape from the Planet of the Apes,12348905.0,,1971-05-21 00:00:00,98.0,G,Sci-Fi
526,527,46281300.0,,,,,,,,Planet of the Apes,Conquest of the Planet of the Apes,9043472.0,,1972-06-14 00:00:00,88.0,PG,Sci-Fi
527,528,43473400.0,,,,,,,,Planet of the Apes,Battle for the Planet of the Apes,8844595.0,,1973-05-23 00:00:00,93.0,G,Sci-Fi
529,530,146667100.0,,30000000,,,,,,Pokemon,Pokemon: The First Movie,85744662.0,,1999-11-10 00:00:00,96.0,G,Animation
530,531,70630900.0,,30000000,,,,,,Pokemon,Pokemon: The Movie 2000,43758684.0,,2000-07-21 00:00:00,102.0,G,Animation
531,532,26210900.0,,16000000,,,,,,Pokemon,Pokemon 3: The Movie,17052128.0,,2001-04-06 00:00:00,70.0,G,Animation
532,533,2586700.0,,,,,,,,Pokemon,Pokemon 4Ever,1727447.0,,2002-10-11 00:00:00,79.0,G,Animation
533,534,1076900.0,,,,,,,,Pokemon,Pokemon Heroes,746381.0,,2003-05-16 00:00:00,80.0,G,Animation
534,535,210247100.0,,,,,,,,Police Academy,Police Academy,81198894.0,,1984-03-23 00:00:00,97.0,R,Comedy
535,536,136259100.0,,,,,,,,Police Academy,Police Academy 2: Their First Assignment,55600000.0,,1985-03-29 00:00:00,97.0,PG-13,Comedy
536,537,102193700.0,,,,,,,,Police Academy,Police Academy 3: Back in Training,43579163.0,,1986-03-21 00:00:00,83.0,PG,Comedy
537,538,62438300.0,,,"['Sharon Stone', 'David Spade*']",Jim Drake,,,,Police Academy,Police Academy 4: Citizens on Patrol,28061343.0,,1987-04-03 00:00:00,88.0,PG,Comedy
538,539,41299300.0,,,,Alan Myerson,,,,Police Academy,Police Academy 5: Assignment: Miami Beach,19510371.0,,1988-03-18 00:00:00,90.0,PG,Comedy
539,540,25348800.0,,,,,,,,Police Academy,Police Academy 6: City Under Siege,11567217.0,,1989-03-10 00:00:00,84.0,PG,Comedy
540,541,262800.0,,,,,,,,Police Academy,Police Academy 7: Mission to Moscow,126247.0,,1994-08-26 00:00:00,83.0,PG,Comedy
541,542,226692100.0,,,,,,,Jerry Goldsmith,Poltergeist,Poltergeist,76606280.0,,1982-06-04 00:00:00,114.0,PG,Horror
542,543,48668600.0,,35000000,"['Sam Rockwell', 'Rosemarie DeWitt', 'Jared Harris']",Gil Kenan,David Lindsay-Abaire,,Marc Streitenfeld,Poltergeist,Poltergeist,47425125.0,,2015-05-22 00:00:00,93.0,PG-13,Horror
543,544,96137700.0,,,,,,,Jerry Goldsmith,Poltergeist,Poltergeist II: The Other Side,40996665.0,,1986-05-23 00:00:00,91.0,PG-13,Horror
544,545,29877400.0,,,,,,,,Poltergeist,Poltergeist III,14114488.0,,1988-06-10 00:00:00,97.0,PG-13,Horror
546,547,312171600.0,328182900.0,,,,,,,Porky's,Porky's,105492483.0,111289673.0,1982-03-19 00:00:00,94.0,R,Comedy
547,548,93239900.0,,,,,,Don Carmody,,Porky's,Porky's II: The Next Day,33759266.0,,1983-06-24 00:00:00,98.0,R,Comedy
548,549,50285800.0,,,,,,,,Porky's,Porky's Revenge,20518905.0,,1985-03-22 00:00:00,92.0,R,Comedy
549,550,16011300.0,328182900.0,,,,,,,Porky's,Porky's,5797190.0,111289673.0,1983-05-06 00:00:00,94.0,R,Unknown
550,551,132915400.0,,15000000,,John McTiernan,,,Alan Silvestri,Predator,Predator,59735548.0,,1987-06-12 00:00:00,107.0,R,Action
551,552,56906400.0,,40000000,"['Adrien Brody', 'Topher Grace', 'Danny Trejo', 'Laurence Fishburne', 'Alice Braga']",Nimród Antal,Alex Litvak,,John Debney,Predator,Predators,52000688.0,,2010-07-09 00:00:00,107.0,R,Sci-Fi
552,553,63078900.0,,,,Stephen Hopkins,,,Alan Silvestri,Predator,Predator 2,30669413.0,,1990-11-21 00:00:00,108.0,R,Action
554,555,95907100.0,,,,,,,Jerry Goldsmith,Psycho,Psycho II,34725000.0,,1983-06-03 00:00:00,113.0,R,Horror
555,556,371200100.0,,"806,947","['Anthony Perkins', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Janet Leigh']",Alfred Hitchcock,Joseph Stefano,,Bernard Herrmann,Psycho,Psycho,32000000.0,,1960-06-16 00:00:00,109.0,PG,Horror
556,557,39101800.0,,60000000,"['Vince Vaughn', 'Julianne Moore', 'Viggo Mortensen', 'William H. Macy']",Gus Van Sant,,,,Psycho,Psycho,21456130.0,,1998-12-04 00:00:00,100.0,R,Thriller
557,558,33959600.0,,,,,,,Carter Burwell,Psycho,Psycho III,14481606.0,,1986-07-04 00:00:00,93.0,R,Horror
558,559,77484700.0,,9000000,"['Keith Stanfield', 'Michael K. Williams', 'Frank Grillo', 'Zach Gilford']",James DeMonaco,James DeMonaco,,Nathan Whitehead,The Purge,The Purge: Anarchy,71962800.0,,2014-07-18 00:00:00,103.0,R,Thriller
559,560,66935100.0,,3000000,"['Ethan Hawke', 'Lena Headey']",James DeMonaco,James DeMonaco,,Nathan Whitehead,The Purge,The Purge,64473115.0,,2013-06-07 00:00:00,85.0,R,Thriller
561,562,368623700.0,,,,,,,Jerry Goldsmith,Rambo,Rambo: First Blood Part II,150415432.0,,1985-05-22 00:00:00,94.0,R,Action
562,563,113704600.0,,63000000,,,Sylvester Stallone,,Jerry Goldsmith,Rambo,Rambo III,53715611.0,,1988-05-25 00:00:00,102.0,R,Action
563,564,139711700.0,,15000000,,,Sylvester Stallone,,Jerry Goldsmith,Rambo,First Blood,47212904.0,,1982-10-22 00:00:00,96.0,R,Action
564,565,51805100.0,,50000000,"['Julie Benz', 'Sylvester Stallone']",Sylvester Stallone,Sylvester Stallone,,Brian Tyler,Rambo,Rambo,42754105.0,,2008-01-25 00:00:00,93.0,R,Action
565,566,65801100.0,,60000000,"['Milla Jovovich', 'Ali Larter', 'Wentworth Miller', 'Sienna Guillory', 'Boris Kodjoe']",Paul W.S. Anderson,Paul W.S. Anderson,,tomandandy,Resident Evil,Resident Evil: Afterlife,60128566.0,,2010-09-10 00:00:00,100.0,R,Action
566,567,71731500.0,,45000000,"['Milla Jovovich', 'Sienna Guillory', 'Jared Harris']",,Paul W.S. Anderson,,Jeff Danna,Resident Evil,Resident Evil: Apocalypse,51201453.0,,2004-09-10 00:00:00,94.0,R,Action
567,568,64047000.0,,,"['Milla Jovovich', 'Ali Larter', ""Jason O'Mara""]",,Paul W.S. Anderson,,,Resident Evil,Resident Evil: Extinction,50648679.0,,2007-09-21 00:00:00,95.0,R,Action
568,569,47353000.0,,65000000,"['Milla Jovovich', 'Sienna Guillory', 'Michelle Rodriguez', 'Boris Kodjoe']",Paul W.S. Anderson,Paul W.S. Anderson,,tomandandy,Resident Evil,Resident Evil: Retribution,42345531.0,,2012-09-14 00:00:00,95.0,R,Action
569,570,60076000.0,,33000000,"['James Purefoy', 'Milla Jovovich', 'Michelle Rodriguez']",Paul W.S. Anderson,Paul W.S. Anderson,,Marco Beltrami,Resident Evil,Resident Evil,40119709.0,,2002-03-15 00:00:00,94.0,R,Action
570,571,34892800.0,,,,,,,,Return of the Living Dead,Return of the Living Dead,14237880.0,,1985-08-16 00:00:00,114.0,R,Horror
571,572,19487000.0,,,,,,,,Return of the Living Dead,Return of the Living Dead 2,9205924.0,,1988-01-15 00:00:00,89.0,R,Unknown
572,573,113900.0,,,,,,,,Return of the Living Dead,Return of the Living Dead III,54207.0,,1993-10-29 00:00:00,96.0,R,Unknown
574,575,80921200.0,,105000000,"['Vin Diesel', 'Colm Feore', 'Thandie Newton', 'Judi Dench', 'Karl Urban', 'Alexa Davalos', 'Linus Roache']",David Twohy,David Twohy,,Graeme Revell,Riddick,The Chronicles of Riddick,57761012.0,,2004-06-11 00:00:00,119.0,PG-13,Sci-Fi
575,576,46392700.0,,38000000,"['Katee Sackhoff', 'Vin Diesel', 'Karl Urban']",David Twohy,David Twohy,Vin Diesel,,Riddick,Riddick,42025135.0,,2013-09-06 00:00:00,119.0,R,Sci-Fi
576,577,63338400.0,,23000000,"['Vin Diesel', 'Radha Mitchell']",David Twohy,David Twohy,,Graeme Revell,Riddick,Pitch Black,39240659.0,,2000-02-18 00:00:00,109.0,R,Sci-Fi
577,578,288941100.0,,125000000,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Paul Bettany', 'Jean Reno', 'Alfred Molina']",Ron Howard,Akiva Goldsman,,Hans Zimmer,Robert Langdon,The Da Vinci Code,217536138.0,,2006-05-19 00:00:00,149.0,PG-13,Thriller
578,579,161611400.0,,150000000,"['Tom Hanks', 'Ewan McGregor', 'Stellan Skarsgard', 'Ayelet Zurer']",Ron Howard,Akiva Goldsman,,Hans Zimmer,Robert Langdon,Angels & Demons,133375846.0,,2009-05-15 00:00:00,140.0,PG-13,Thriller
580,581,63986200.0,,100000000,"['Michael K. Williams', 'Joel Kinnaman', 'Gary Oldman', 'Michael Keaton', 'Abbie Cornish', 'Jackie Earle Haley', 'Jennifer Ehle', 'Jay Baruchel', 'Samuel L. Jackson']",Jose Padilha,Joshua Zetumer,,,Robocop,RoboCop,58607007.0,,2014-02-12 00:00:00,108.0,PG-13,Sci-Fi
581,582,118873300.0,,13000000,,Paul Verhoeven,,,,Robocop,Robocop,53424681.0,,1987-07-17 00:00:00,103.0,R,Sci-Fi
582,583,93954200.0,,,,Irvin Kershner,Frank Miller,Patrick Crowley (executive),,Robocop,Robocop 2,45681173.0,,1990-06-22 00:00:00,117.0,R,Sci-Fi
583,584,22477500.0,,22000000,,,Frank Miller,Patrick Crowley,,Robocop,Robocop 3,10696210.0,,1993-11-05 00:00:00,105.0,PG-13,Sci-Fi
584,585,307869500.0,,,,Sylvester Stallone,Sylvester Stallone,Irwin Winkler,,Rocky,Rocky IV,127873716.0,,1985-11-27 00:00:00,91.0,PG,Sports
585,586,367373400.0,369865300.0,,,Sylvester Stallone,Sylvester Stallone,Irwin Winkler,,Rocky,Rocky III,124146897.0,125049125.0,1982-05-28 00:00:00,99.0,PG,Sports
586,587,478847800.0,,,,,Sylvester Stallone,Irwin Winkler,,Rocky,Rocky,117235147.0,,1976-11-21 00:00:00,119.0,PG,Sports
587,588,109767600.0,,35000000,"['Michael B. Jordan', 'Sylvester Stallone']",Ryan Coogler,Ryan Coogler,,,Rocky,Creed,109767581.0,,2015-11-25 00:00:00,133.0,PG-13,Drama
588,589,295252900.0,,,,Sylvester Stallone,Sylvester Stallone,Irwin Winkler,,Rocky,Rocky II,85182160.0,,1979-06-15 00:00:00,119.0,PG,Sports
589,590,91240800.0,,24000000,"['Sylvester Stallone', 'Burt Young', 'Milo Ventimiglia']",Sylvester Stallone,Sylvester Stallone,,,Rocky,Rocky Balboa,70270943.0,,2006-12-20 00:00:00,102.0,PG,Sports
590,591,84215900.0,,,,,Sylvester Stallone,Irwin Winkler,,Rocky,Rocky V,40946358.0,,1990-11-16 00:00:00,111.0,PG-13,Sports
591,592,2491900.0,369865300.0,,,,,,,Rocky,Rocky III,902228.0,125049125.0,1983-05-06 00:00:00,100.0,PG,Unknown
592,593,184415800.0,,24000000,"['David Spade* (Voice)', 'Lenny Kravitz* (Voice)']",,,,Mark Mothersbaugh,Rugrats,The Rugrats Movie,100494675.0,,1998-11-20 00:00:00,81.0,G,Animation
593,594,122865600.0,,30000000,,,,,Mark Mothersbaugh,Rugrats,Rugrats in Paris: The Movie,76507756.0,,2000-11-17 00:00:00,78.0,G,Animation
594,595,56849500.0,,25000000,,,,,,Rugrats,Rugrats Go Wild,39402572.0,,2003-06-13 00:00:00,81.0,PG,Animation
595,596,347637700.0,,90000000,"['Jackie Chan', 'Chris Tucker', 'Zhang Ziyi', 'Don Cheadle* (Cameo)']",Brett Ratner,Jeff Nathanson,,,Rush Hour,Rush Hour 2,226164286.0,,2001-08-03 00:00:00,90.0,PG-13,Action
596,597,260019900.0,,33000000,"['Chris Tucker', 'Jackie Chan', 'Tom Wilkinson']",Brett Ratner,,,,Rush Hour,Rush Hour,141186864.0,,1998-09-18 00:00:00,97.0,PG-13,Action
597,598,177194200.0,,140000000,"['Jackie Chan', 'Chris Tucker']",Brett Ratner,Jeff Nathanson,,,Rush Hour,Rush Hour 3,140125968.0,,2007-08-10 00:00:00,90.0,PG-13,Action
598,599,300212900.0,,22000000,,,,Jeffrey Silver,,The Santa Clause,The Santa Clause,144833357.0,,1994-11-11 00:00:00,97.0,PG,Family
599,600,208175600.0,,65000000,,Michael Lembeck,,Jeffrey Silver,,The Santa Clause,The Santa Clause 2,139236327.0,,2002-11-01 00:00:00,105.0,G,Family
600,601,112145000.0,,,"['Tim Allen', 'Abigail Breslin']",Michael Lembeck,,Jeffrey Silver,,The Santa Clause,The Santa Clause 3: The Escape Clause,84500122.0,,2006-11-03 00:00:00,98.0,G,Family
601,602,118133400.0,,4000000,,Darren Lynn Bousman,,,,Saw,Saw II,87039965.0,,2005-10-28 00:00:00,91.0,R,Horror
602,603,106576600.0,,10000000,,Darren Lynn Bousman,,,,Saw,Saw III,80238724.0,,2006-10-27 00:00:00,107.0,R,Horror
603,604,80045200.0,,,,Darren Lynn Bousman,,,,Saw,Saw IV,63300095.0,,2007-10-26 00:00:00,108.0,R,Horror
604,605,68760000.0,,10800000,"['Tobin Bell', 'Scott Patterson']",David Hackl,,,,Saw,Saw V,56746769.0,,2008-10-24 00:00:00,88.0,R,Horror
605,606,77312400.0,78190300.0,1200000,"['Cary Elwes', 'Danny Glover']",James Wan,,,,Saw,Saw,55185045.0,56000369.0,2004-10-29 00:00:00,100.0,R,Horror
606,607,50022500.0,,20000000,"['Tobin Bell', 'Cary Elwes']",,,,,Saw,Saw 3D,45710178.0,,2010-10-29 00:00:00,91.0,R,Horror
607,608,31659900.0,,11000000,,,,,,Saw,Saw VI,27693292.0,,2009-10-23 00:00:00,120.0,R,Horror
608,609,253445600.0,,19000000,"['Shawn Wayans', 'Marlon Wayans', 'Anna Faris', 'Regina Hall', 'Keenen Ivory Wayans*']",Keenen Ivory Wayans,,,David Kitay,Scary Movie,Scary Movie,157019771.0,,2000-07-07 00:00:00,88.0,R,Horror
609,610,158673700.0,,48000000,"['Kevin Hart', 'Anna Faris', 'Regina Hall', 'Charlie Sheen', 'Simon Rex', 'Anthony Anderson', 'Leslie Nielsen', 'Eddie Griffin* (Cameo)', 'Queen Latifah* (Cameo)', 'Denise Richards* (Cameo)']",David Zucker,,Robert K. Weiss,James L. Venable,Scary Movie,Scary Movie 3,110003217.0,,2003-10-24 00:00:00,90.0,PG-13,Horror
610,611,120485900.0,,45000000,"['Anna Faris', 'Regina Hall', 'Craig Bierko', 'Leslie Nielsen', 'Anthony Anderson', 'Bill Pullman*', 'Charlie Sheen* (Cameo)', 'Simon Rex*', 'James Earl Jones* (Cameo)', 'Kevin Hart*']",David Zucker,,,James L. Venable,Scary Movie,Scary Movie 4,90710620.0,,2006-04-14 00:00:00,83.0,PG-13,Horror
611,612,109609200.0,,45000000,"['Shawn Wayans', 'Marlon Wayans', 'Anna Faris', 'Regina Hall']",Keenen Ivory Wayans,,Lee R. Mayes,,Scary Movie,Scary Movie 2,71308997.0,,2001-07-04 00:00:00,83.0,R,Horror
612,613,33238300.0,,20000000,"['Ashley Tisdale', 'Lindsay Lohan', 'Charlie Sheen']",Malcolm D. Lee,,David Zucker,,Scary Movie,Scary Movie 5,32015787.0,,2013-04-12 00:00:00,85.0,PG-13,Comedy
613,614,229545500.0,,84000000,"['Sarah Michelle Gellar', 'Freddie Prinze, Jr.', 'Matthew Lillard', 'Linda Cardellini', 'Rowan Atkinson', 'Isla Fisher']",Raja Gosnell,James Gunn,Charles Roven,,Scooby-Doo,Scooby-Doo,153294164.0,,2002-06-14 00:00:00,86.0,PG,Family
614,615,117984900.0,,,"['Sarah Michelle Gellar', 'Freddie Prinze, Jr.', 'Matthew Lillard', 'Seth Green', 'Alicia Silverstone']",Raja Gosnell,James Gunn,Charles Roven,,Scooby-Doo,Scooby-Doo 2: Monsters Unleashed,84216833.0,,2004-03-26 00:00:00,87.0,PG,Family
616,617,196205000.0,,14000000,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Skeet Ulrich', 'Rose McGowan', 'Matthew Lillard', 'Jamie Kennedy', 'Drew Barrymore', 'Liev Schreiber*']",Wes Craven,Kevin Williamson,Cathy Konrad,Marco Beltrami,Scream,Scream,103046663.0,,1996-12-20 00:00:00,110.0,R,Horror
617,618,190536200.0,,24000000,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Sarah Michelle Gellar', 'Jamie Kennedy', ""Jerry O'Connell"", 'Timothy Olyphant', 'Jada Pinkett-Smith', 'Liev Schreiber', 'Omar Epps', 'Luke Wilson* (Cameo)']",Wes Craven,Kevin Williamson,Cathy Konrad,Marco Beltrami,Scream,Scream 2,101363301.0,,1997-12-12 00:00:00,120.0,R,Horror
618,619,143886000.0,,40000000,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Patrick Dempsey', 'Parker Posey', 'Scott Foley', 'Emily Mortimer', 'Lance Henriksen', 'Jenny McCarthy', 'Patrick Warburton', 'Liev Schreiber', 'Jamie Kennedy', 'Carrie Fisher*']",Wes Craven,Ehren Kruger,Cathy Konrad,Marco Beltrami,Scream,Scream 3,89143175.0,,2000-02-04 00:00:00,117.0,R,Horror
619,620,41212700.0,,40000000,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Emma Roberts', 'Hayden Panettiere', 'Anthony Anderson', 'Alison Brie', 'Adam Brody', 'Rory Culkin', 'Mary McDonnell*', 'Marley Shelton*', 'Kristen Bell*', 'Aimee Teegarden*', 'Anna Paquin*']",Wes Craven,Kevin Williamson,,Marco Beltrami,Scream,Scream 4,38180928.0,,2011-04-15 00:00:00,103.0,R,Horror
620,621,1910300.0,,,,,,,,Shiloh,Shiloh,1007822.0,,1997-04-25 00:00:00,93.0,PG,Family
621,622,101000.0,,,,,,,,Shiloh,Shiloh 2: Shiloh Season,58946.0,,1999-06-25 00:00:00,96.0,PG,Family
622,623,618143100.0,,150000000,"['Mike Myers (Voice)', 'Cameron Diaz (Voice)', 'Eddie Murphy (Voice)', 'Antonio Banderas (Voice)', 'Julie Andrews* (Voice)']",,,Jeffrey Katzenberg (Executive),,Shrek,Shrek 2,441226247.0,,2004-05-19 00:00:00,93.0,PG,Animation
623,624,408090600.0,,160000000,"['Mike Myers (Voice)', 'Eddie Murphy (Voice)', 'Cameron Diaz (Voice)', 'Antonio Banderas (Voice)', 'Julie Andrews* (Voice)', 'John Cleese* (Voice)', 'Rupert Everett* (Voice)', 'Eric Idle* (Voice)', 'Justin Timberlake* (Voice)', 'John Krasinski* (Voice)', 'Ian McShane* (Voice)', 'Cheri Oteri* (Voice)', 'Regis Philbin* (Voice)', 'Amy Poehler* (Voice)', 'Seth Rogen* (Voice)', 'Maya Rudolph* (Voice)', 'Amy Sedaris* (Voice)', 'Tom McGrath* (Voice)']",Chris Miller,Chris Miller,,Harry Gregson-Williams,Shrek,Shrek the Third,322719944.0,,2007-05-18 00:00:00,92.0,PG,Animation
624,625,411428500.0,,60000000,"['Mike Myers (Voice)', 'Cameron Diaz (Voice)', 'Eddie Murphy (Voice)']",Andrew Adamson,,Jeffrey Katzenberg,,Shrek,Shrek,267665011.0,,2001-05-16 00:00:00,90.0,PG,Animation
625,626,261259100.0,,165000000,"['Mike Myers (Voice)', 'Eddie Murphy (Voice)', 'Cameron Diaz (Voice)', 'Antonio Banderas (Voice)', 'Jon Hamm* (Voice)', 'Jane Lynch* (Voice)', 'Lake Bell* (Voice)', 'Maya Rudolph* (Voice)', 'John Cleese* (Voice)', 'Julie Andrews* (Voice)']",Mike Mitchell,Darren Lemke,,Harry Gregson-Williams,Shrek,Shrek Forever After,238736787.0,,2010-05-21 00:00:00,93.0,PG,Animation
626,627,165787800.0,,130000000,"['Antonio Banderas (Voice)', 'Salma Hayek (Voice)', 'Zach Galifianakis (Voice)', 'Billy Bob Thornton (Voice)', 'Amy Sedaris (Voice)']",Chris Miller,,,Henry Jackman,Shrek,Puss in Boots,149260504.0,,2011-10-28 00:00:00,90.0,PG,Animation
628,629,51970800.0,,3000000,,Scott Derrickson,,,Christopher Young,Sinister,Sinister,48086903.0,,2012-10-12 00:00:00,110.0,R,Horror
629,630,29236000.0,,10000000,,,,Jason Blum,,Sinister,Sinister 2,27740955.0,,2015-08-21 00:00:00,97.0,R,Horror
630,631,494446500.0,,,"['Burt Reynolds', 'Sally Field']",,Charles Shyer,,,Smokey and the Bandit,Smokey and the Bandit,126737428.0,,1977-05-27 00:00:00,96.0,PG,Action
631,632,213886200.0,,,"['Burt Reynolds', 'Sally Field']",,,,,Smokey and the Bandit,Smokey and the Bandit II,66132626.0,,1980-08-15 00:00:00,101.0,PG,Action
632,633,15684700.0,,,,,,,,Smokey and the Bandit,Smokey & the Bandit Part III,5678950.0,,1983-08-12 00:00:00,86.0,PG,Unknown
633,634,156328600.0,,110000000,"['Neil Patrick Harris', 'Jayma Mays', 'Hank Azaria', 'Katy Perry (Voice)', 'Alan Cumming (Voice)', 'George Lopez (Voice)', 'Paul Reubens (Voice)', 'Anton Yelchin (Voice)']",Raja Gosnell,,Jordan Kerner,Heitor Pereira,The Smurfs,The Smurfs,142614158.0,,2011-07-29 00:00:00,86.0,PG,Family
