,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
307,308,187033300.0,,145000000,"['Jay Baruchel (Voice)', 'Gerard Butler (Voice)', 'Craig Ferguson (Voice)', 'America Ferrera (Voice)', 'Jonah Hill (Voice)', 'Christopher Mintz-Plasse (Voice)', 'TJ Miller (Voice)', 'Kristen Wiig (Voice)', 'Kit Harington (Voice)', 'Cate Blanchett (Voice)', 'Djimon Hounsou (Voice)']",Dean DeBlois,Dean DeBlois,,John Powell,How to Train Your Dragon,How to Train Your Dragon 2,177002924.0,,2014-06-13 00:00:00,105.0,PG,Animation
309,310,444697400.0,,130000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Elizabeth Banks', 'Stanley Tucci', 'Woody Harrelson', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Jena Malone', 'Amanda Plummer', 'Sam Claflin', 'Donald Sutherland', 'Lenny Kravitz']",Francis Lawrence,,Nina Jacobson,James Newton Howard,The Hunger Games,The Hunger Games: Catching Fire,424668047.0,,2013-11-22 00:00:00,146.0,PG-13,Action
310,311,442510400.0,,78000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Elizabeth Banks', 'Wes Bentley', 'Stanley Tucci', 'Woody Harrelson', 'Lenny Kravitz', 'Toby Jones']",Gary Ross,,,James Newton Howard,The Hunger Games,The Hunger Games,408010692.0,,2012-03-23 00:00:00,142.0,PG-13,Action
311,312,354324000.0,,125000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Donald Sutherland', 'Philip Seymour Hoffman', 'Julianne Moore', 'Sam Claflin', 'Elizabeth Banks', 'Jena Malone', 'Jeffrey Wright', 'Stanley Tucci']",Francis Lawrence,,,James Newton Howard,The Hunger Games,The Hunger Games: Mockingjay - Part 1,337135885.0,,2014-11-21 00:00:00,123.0,PG-13,Action
312,313,281723900.0,,160000000,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Francis Lawrence,,,James Newton Howard,The Hunger Games,The Hunger Games: Mockingjay - Part 2,281723902.0,,2015-11-20 00:00:00,137.0,PG-13,Action
313,314,229214400.0,,90000000,"['Ray Romano (Voice)', 'John Leguizamo (Voice)', 'Denis Leary (Voice)', 'Queen Latifah (Voice)', 'Simon Pegg (Voice)', 'Kristen Wiig* (Voice)', 'Joey King*']",Carlos Saldanha,Yoni Brenner,John C. Donkin,John Powell,Ice Age,Ice Age: Dawn of the Dinosaurs,196573705.0,,2009-07-01 00:00:00,87.0,PG,Animation
314,315,259446800.0,,80000000,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah']",Carlos Saldanha,,,John Powell,Ice Age,Ice Age: The Meltdown,195330621.0,,2006-03-31 00:00:00,90.0,PG,Animation
315,316,264125800.0,,59000000,"['Cedric the Entertainer', 'Ray Romano (Voice)', 'Denis Leary (Voice)', 'John Leguizamo (Voice)', 'Jack Black* (Voice)', 'Goran Visnjic* (Voice)']",,,Christopher Meledandri (executive),,Ice Age,Ice Age,176387405.0,,2002-03-15 00:00:00,81.0,PG,Animation
316,317,180303500.0,,95000000,"['Ray Romano (Voice)', 'Queen Latifah (Voice)', 'Denis Leary (Voice)', 'John Leguizamo (Voice)', 'Jennifer Lopez (Voice)', 'Josh Peck* (Voice)', 'Seann William Scott* (Voice)', 'Alan Tudyk* (Voice)', 'Nick Frost* (Voice)', 'Aziz Ansari* (Voice)', 'Nicki Minaj* (Voice)', 'Rebel Wilson* (Voice)']",,,John C. Donkin,John Powell,Ice Age,Ice Age: Continental Drift,161321843.0,,2012-07-13 00:00:00,94.0,PG,Animation
318,319,384231200.0,,185000000,"['Harrison Ford', 'Cate Blanchett', 'Karen Allen', 'Shia LaBeouf', 'Ray Winstone', 'John Hurt', 'Jim Broadbent*']",Steven Spielberg,,,John Williams,Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull,317101119.0,,2008-05-22 00:00:00,120.0,PG-13,Period
