,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
634,156328600,,110000000,"['Neil Patrick Harris', 'Jayma Mays', 'Hank Azaria', 'Katy Perry (Voice)', 'Alan Cumming (Voice)', 'George Lopez (Voice)', 'Paul Reubens (Voice)', 'Anton Yelchin (Voice)']",Raja Gosnell,,Jordan Kerner,Heitor Pereira,The Smurfs,The Smurfs,142614158,,2011-07-29 00:00:00,86,PG,Family Comedy
635,78716300,,105000000,"['Neil Patrick Harris', 'Brendan Gleeson', 'Jayma Mays', 'Sofia Vergara', 'Hank Azaria', 'Katy Perry (Voice)', 'Christina Ricci (Voice)', 'George Lopez (Voice)', 'Anton Yelchin (Voice)']",Raja Gosnell,,Jordan Kerner,Heitor Pereira,The Smurfs,The Smurfs 2,71017784,,2013-07-31 00:00:00,105,PG,Family Comedy
636,29738600,,,,,,,,The Smurfs,The Smurfs and the Magic Flute,11234220,,1983-10-07 00:00:00,89,G,Animation
758,4590800,,7500000,,,,,,The Work and the Glory,The Work and the Glory,3347647,,2004-11-24 00:00:00,118,PG,Period Drama
759,2745100,,6500000,,,,,,The Work and the Glory,The Work and the Glory II: American Zion,2025032,,2005-10-21 00:00:00,100,PG-13,Period Drama
760,1719400,,6500000,,,,,,The Work and the Glory,The Work and the Glory III: A House Divided,1325092,,2006-11-22 00:00:00,93,PG,Period Drama
719,381654400,381654400,,"['Tim Allen (Voice)', 'Tom Hanks (Voice)']",John Lasseter,,,Randy Newman (+ songs),Toy Story,Toy Story,191796233,191796233,1995-11-22 00:00:00,81,G,Animation
720,37202100,,,"['Tim Allen', 'Tom Hanks']",,,,,Toy Story,Toy Story / Toy Story 2,30702446,,2009-10-02 00:00:00,169,G,Animation
718,416177700,416177700,90000000,"['Tom Hanks (Voice)', 'Tim Allen (Voice)', 'Joan Cusack* (Voice)', 'Kelsey Grammer* (Voice)']",,,,Randy Newman (+ songs),Toy Story,Toy Story 2,245852179,245852179,1999-11-19 00:00:00,92,G,Animation
717,454156300,,200000000,"['Tom Hanks (Voice)', 'Michael Keaton (Voice)', 'Joan Cusack (Voice)', 'Tim Allen (Voice)', 'Don Rickles (Voice)', 'John Ratzenberger (Voice)', 'Whoopi Goldberg* (Voice)', 'Wallace Shawn (Voice)', 'Timothy Dalton (Voice)', 'Bonnie Hunt* (Voice)', 'Ned Beatty (Voice)', 'Jodi Benson* (Voice)', 'Richard Kind* (Voice)', 'Jeff Garlin* (Voice)', 'Lee Unkrich* (Voice)']",Lee Unkrich,,,Randy Newman,Toy Story,Toy Story 3,415004880,,2010-06-18 00:00:00,103,G,Animation
