,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
1,60795800,,,,Jon Turteltaub,,,,3 Ninjas,3 Ninjas,29000301,,1992-08-07 00:00:00,85,PG,Family Adventure
2,24557400,,,,,,,,3 Ninjas,3 Ninjas Kick Back,11798854,,1994-05-06 00:00:00,94,PG,Family Adventure
3,827000,,,,,,,,3 Ninjas,3 Ninjas Knuckle Up,413479,,1995-03-10 00:00:00,87,PG-13,Unknown
4,697100,,,,Sean McNamara,Sean McNamara,,,3 Ninjas,3 Ninjas: High Noon at Mega Mountain,375805,,1998-04-10 00:00:00,93,PG,Unknown
7,27979700,,35000000,"['Tyler Perry', 'Matthew Fox', 'Jean Reno', 'Edward Burns', 'Rachel Nichols', 'John C. McGinley', 'Cicely Tyson']",Rob Cohen,,,John Debney,Alex Cross,Alex Cross,25888412,,2012-10-19 00:00:00,101,PG-13,Crime Thriller
5,113865700,,60000000,"['Morgan Freeman', 'Billy Burke']",Lee Tamahori,Marc Moss,,Jerry Goldsmith,Alex Cross,Along Came a Spider,74078174,,2001-04-06 00:00:00,103,R,Thriller
6,114726000,,27000000,"['Morgan Freeman', 'Ashley Judd', 'Cary Elwes', 'Brian Cox']",,,,Mark Isham,Alex Cross,Kiss the Girls,60527873,,1997-10-03 00:00:00,117,R,Thriller
11,273633700,276500400,11000000,"['Ian Holm', 'Sigourney Weaver']",Ridley Scott,,,Jerry Goldsmith,Alien,Alien,78944891,80931801,1979-05-25 00:00:00,117,R,Sci-Fi Horror
12,116293900,,50000000,"['Sigourney Weaver', 'Lance Henriksen']",David Fincher,,,Elliot Goldenthal,Alien,Alien 3,55473545,,1992-05-22 00:00:00,114,R,Sci-Fi Horror
13,90593100,,75000000,"['Sigourney Weaver', 'Winona Ryder']",Jean-Pierre Jeunet,Joss Whedon,,John Frizzell,Alien,Alien Resurrection,47795658,,1997-11-26 00:00:00,109,R,Sci-Fi Horror
10,112472700,,60000000,"['Ewen Bremner', 'Sanaa Lathan', 'Lance Henriksen']",Paul W.S. Anderson,Paul W.S. Anderson,,Harald Kloser,Alien,Alien Vs. Predator,80282231,,2004-08-13 00:00:00,87,PG-13,Sci-Fi Horror
15,,,,"['Michael Fassbender', 'Katherine Waterston', 'Demian Birchir', 'Danny McBride']",Ridley Scott,,,,Alien,Alien: Covenant,,,2017-08-04 00:00:00,,Unknown,Sci-Fi
9,199701900,,,"['Sigourney Weaver', 'Michael Biehn', 'Lance Henriksen', 'Bill Paxton']",James Cameron,James Cameron,,James Horner,Alien,Aliens,85160248,,1986-07-18 00:00:00,137,R,Sci-Fi Horror
14,51534700,,,,,,John Davis,Brian Tyler,Alien,Aliens Vs. Predator - Requiem,41797066,,2007-12-25 00:00:00,86,R,Sci-Fi Horror
8,136126400,,130000000,"['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron', 'Idris Elba', 'Guy Pearce', 'Patrick Wilson*']",Ridley Scott,,,Marc Streitenfeld,Alien,Prometheus,126477084,,2012-06-08 00:00:00,124,R,Sci-Fi Action
160,64011800,,,"['Jeff Daniels', 'Ansel Elgort', 'Theo James', 'Mekhi Phifer', 'Maggie Q', 'Octavia Spencer', 'Ray Stevenson', 'Miles Teller', 'Naomi Watts', 'Shailene Woodley']",Robert Schwentke,,,,Allegiant (2016) - Box Office Mojo,The Divergent Series: Allegiant,,,2016-03-18 00:00:00,121,PG-13,Action / Adventure
17,269272300,,60000000,"['Jason Lee', 'David Cross', 'Cameron Richardson', 'Justin Long (Voice)', 'Jane Lynch']",Tim Hill,,,Christopher Lennertz,Alvin and the Chipmunks,Alvin and the Chipmunks,217326974,,2007-12-14 00:00:00,92,PG,Family Comedy
18,147158100,,75000000,"['Jason Lee', 'David Cross', 'Justin Long (Voice)', 'Christina Applegate (Voice)', 'Anna Faris (Voice)']",Mike Mitchell,,Arnon Milchan (executive),Mark Mothersbaugh,Alvin and the Chipmunks,Alvin and the Chipmunks: Chipwrecked,133110742,,2011-12-16 00:00:00,87,G,Family Comedy
19,85825200,,,"['Christina Applegate (Voice)', 'Kaley Cuoco (Voice)', 'Anna Faris (Voice)', 'Jason Lee', 'Justin Long (Voice)', 'Bella Thorne']",,,,,Alvin and the Chipmunks,Alvin and the Chipmunks: The Road Chip,,,2015-12-18 00:00:00,86,PG,Family Comedy
16,246244100,,75000000,"['Christina Applegate (Voice)', 'David Cross', 'Anna Faris (Voice)', 'Jason Lee', 'Zachary Levi', 'Justin Long (Voice)', 'Amy Poehler (Voice)']",Betty Thomas,,,,Alvin and the Chipmunks,Alvin and the Chipmunks: The Squeakquel,219614612,,2009-12-23 00:00:00,88,PG,Family Comedy
20,15140000,,,,,,,Randy Edelman,Alvin and the Chipmunks,The Chipmunk Adventure,6804312,,1987-05-22 00:00:00,76,G,Animation
21,25731700,,,,,,,,American Ninja,American Ninja,10499694,,1985-08-30 00:00:00,95,R,Action
22,8900300,,,,,,,,American Ninja,American Ninja 2,4000000,,1987-05-01 00:00:00,89,R,Action
23,1977000,,,,,,,,American Ninja,American Ninja 3: Blood Hunt,902152,,1989-02-24 00:00:00,90,R,Action
24,739900,,,,,,,,American Ninja,American Ninja 4: The Annihilation,358047,,1991-03-08 00:00:00,99,R,Action
27,175645800,,11000000,"['Jason Biggs', 'Chris Klein', 'Alyson Hannigan', 'Shannon Elizabeth', 'Tara Reid', 'Seann William Scott', 'Eugene Levy', 'Mena Suvari', 'Jennifer Coolidge*']",,,,,American Pie,American Pie,102561004,,1999-07-09 00:00:00,95,R,Comedy
25,223039100,,30000000,"['Jason Biggs', 'Shannon Elizabeth', 'Alyson Hannigan', 'Chris Klein', 'Tara Reid', 'Seann William Scott', 'Mena Suvari', 'Eugene Levy', 'Jennifer Coolidge*', 'Adam Brody*', 'Casey Affleck*']",,David H. Steinberg (story),,,American Pie,American Pie 2,145103595,,2001-08-10 00:00:00,104,R,Comedy
28,61083800,,50000000,"['Jason Biggs', 'Seann William Scott', 'Chris Klein', 'Thomas Ian Nicholas', 'Eddie Kay Thomas', 'Alyson Hannigan', 'Tara Reid', 'Mena Suvari', 'Eugene Levy', 'Natasha Lyonne*', 'Shannon Elizabeth*', 'Jennifer Coolidge*', 'John Cho*']",,,,Lyle Workman,American Pie,American Reunion,57011521,,2012-04-06 00:00:00,113,R,Comedy
26,150865100,,55000000,"['Jennifer Coolidge*', 'January Jones']",,,,Christophe Beck,American Pie,American Wedding,104565114,,2003-08-01 00:00:00,102,R,Comedy
32,17491500,,,,,,,,Amityville,Amityville 3-D,6333135,,1983-11-18 00:00:00,93,PG,Unknown
31,37092800,,,,,,,,Amityville,Amityville II: The Possession,12534817,,1982-09-24 00:00:00,104,R,Horror
33,,,,"['Jennifer Jason Leigh', 'Thomas Mann', 'Bella Thorne']",,,Jason Blum,,Amityville,Amityville: The Awakening,,,2017-01-06 00:00:00,,PG-13,Horror
29,299585000,,,,,,,,Amityville,The Amityville Horror,86432000,,1979-07-27 00:00:00,119,R,Horror
30,88538300,,19000000,"['Ryan Reynolds', 'Chloe Moretz']",,,,Steve Jablonsky,Amityville,The Amityville Horror,65233369,,2005-04-15 00:00:00,89,R,Horror
34,283106200,,,,,,Michael Tadross,,Arthur,Arthur,95461682,,1981-07-17 00:00:00,97,PG,Romantic Comedy
35,36565900,,40000000,"['Russell Brand', 'Helen Mirren', 'Jennifer Garner', 'Nick Nolte', 'Greta Gerwig', 'Luis Guzman']",Jason Winer,Peter Baynham,,Theodore Shapiro,Arthur,Arthur,33035397,,2011-04-08 00:00:00,110,PG-13,Comedy
36,31077000,,,,,,,,Arthur,Arthur 2: On the Rocks,14681192,,1988-07-08 00:00:00,113,PG,Romantic Comedy
161,,,,"['Jeff Daniels', 'Ansel Elgort', 'Theo James', 'Naomi Watts', 'Shailene Woodley']",Lee Toland Krieger,,,,Ascendant (2017) - Box Office Mojo,The Divergent Series: Ascendant,,,2017-06-09 00:00:00,,Not Yet Rated,Action / Adventure
39,910300,,,,,,,,Atlas Shrugged Franchise,Atlas Shrugged Part III: Who Is John Galt?,846704,,2014-09-12 00:00:00,,PG-13,Drama
37,5121900,,20000000,,,,,,Atlas Shrugged Franchise,Atlas Shrugged: Part I,4627375,,2011-04-15 00:00:00,102,PG-13,Drama
38,3605400,,,,,,,,Atlas Shrugged Franchise,Atlas Shrugged: Part II,3336053,,2012-10-12 00:00:00,112,PG-13,Drama
40,319411100,,63000000,"['Mike Myers', 'Beyonce Knowles', 'Seth Green', 'Michael Caine', 'Rob Lowe* (Cameo)', 'Tom Cruise* (Cameo)', 'Kevin Spacey* (Cameo)', 'Josh Zuckerman*', 'Danny DeVito* (Cameo)']",Jay Roach,,,,Austin Powers,Austin Powers in Goldmember,213307889,,2002-07-26 00:00:00,94,PG-13,Comedy
42,102133100,,16500000,"['Carrie Fisher* (Cameo)', 'Mike Myers', 'Seth Green', 'Will Ferrell*', 'Tom Arnold* (Cameo)']",Jay Roach,,,,Austin Powers,Austin Powers: International Man of Mystery,53883989,,1997-05-02 00:00:00,100,PG-13,Comedy
41,352863900,,33000000,"['Mike Myers', 'Heather Graham', 'Rob Lowe', 'Seth Green', 'Will Ferrell* (Cameo)', 'Tim Robbins* (Cameo)', 'Jennifer Coolidge*']",Jay Roach,,,,Austin Powers,Austin Powers: The Spy Who Shagged Me,206040086,,1999-06-11 00:00:00,95,PG-13,Comedy
44,465684200,,250000000,"['Robert Downey, Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgard', 'James Spader (Voice)', 'Samuel L. Jackson', 'Josh Brolin (Voice)', 'Andy Serkis* (Cameo)']",Joss Whedon,Joss Whedon,,,Avengers,Avengers: Age of Ultron,459005868,,2015-05-01 00:00:00,141,PG-13,Action / Adventure
45,,,,,,,Kevin Feige,,Avengers,Avengers: Infinity War Part I,,,2018-05-04 00:00:00,,Not Yet Rated,Action / Adventure
46,,,,,,,Kevin Feige,,Avengers,Avengers: Infinity War Part II,,,2019-05-03 00:00:00,,Not Yet Rated,Action / Adventure
43,668866600,,220000000,"['Robert Downey, Jr.', 'Chris Hemsworth', 'Chris Evans', 'Jeremy Renner', 'Mark Ruffalo', 'Scarlett Johansson', 'Clark Gregg', 'Samuel L. Jackson', 'Cobie Smulders', 'Tom Hiddleston', 'Stellan Skarsgard', 'Gwyneth Paltrow*', 'Paul Bettany* (Voice)']",Joss Whedon,,,Alan Silvestri,Avengers,Marvel's The Avengers,623357910,,2012-05-04 00:00:00,142,PG-13,Action / Adventure
47,513740700,,19000000,,Robert Zemeckis,,,Alan Silvestri,Back to the Future,Back to the Future,210609762,,1985-07-03 00:00:00,111,PG,Sci-Fi Adventure
48,255351700,,40000000,,Robert Zemeckis,,,Alan Silvestri,Back to the Future,Back to the Future Part II,118450002,,1989-11-22 00:00:00,108,PG,Sci-Fi Adventure
49,180432600,,40000000,,Robert Zemeckis,,,Alan Silvestri,Back to the Future,Back to the Future Part III,87727583,,1990-05-25 00:00:00,118,PG,Western
51,131614100,,19000000,"['Will Smith', 'Martin Lawrence', 'Tea Leoni']",Michael Bay,,Jerry Bruckheimer,Mark Mancina,Bad Boys,Bad Boys,65807024,,1995-04-07 00:00:00,123,R,Action Comedy
52,,,,"['Martin Lawrence', 'Will Smith']",Joe Carnahan,David Guggenheim,,,Bad Boys,Bad Boys 3,,,2017-06-02 00:00:00,,Not Yet Rated,Action / Crime
53,,,,,,,,,Bad Boys,Bad Boys 4,,,2019-07-03 00:00:00,,Not Yet Rated,Action / Adventure
50,199982300,,130000000,"['Martin Lawrence', 'Will Smith']",Michael Bay,,Jerry Bruckheimer,Trevor Rabin,Bad Boys,Bad Boys II,138608444,,2003-07-18 00:00:00,147,R,Action Comedy
58,113463300,,12000000,"['Ice Cube', 'Anthony Anderson', 'Cedric the Entertainer', 'Michael Ealy', 'Keith David']",Tim Story,Mark Brown,,Terence Blanchard,Barbershop,Barbershop,75782105,,2002-09-13 00:00:00,102,PG-13,Comedy
59,91218700,,30000000,"['Ice Cube', 'Cedric the Entertainer', 'Michael Ealy', 'Queen Latifah']",Kevin Rodney Sullivan,,,,Barbershop,Barbershop 2: Back in Business,65111277,,2004-02-06 00:00:00,106,PG-13,Comedy
61,20242400,,,"['Ice Cube', 'Cedric the Entertainer', 'Regina Hall', 'Anthony Anderson', 'Common', 'Nicki Minaj']",Malcolm D. Lee,,,,Barbershop,Barbershop: The Next Cut,,,2016-04-15 00:00:00,112,PG-13,Comedy
60,49338000,,,"['Kevin Bacon', 'Queen Latifah', 'Alicia Silverstone', 'Ice Cube* (Cameo)']",Bille Woodruff,Elizabeth Hunter (story),,Christopher Young,Barbershop,Beauty Shop,36351350,,2005-03-30 00:00:00,105,PG-13,Comedy
65,547705200,,35000000,"['Jack Nicholson', 'Michael Keaton', 'Kim Basinger']",Tim Burton,,Jon Peters,Danny Elfman,Batman,Batman,251188924,,1989-06-23 00:00:00,126,PG-13,Action / Adventure
69,203426800,,125000000,"['Arnold Schwarzenegger', 'George Clooney', ""Chris O'Donnell"", 'Uma Thurman', 'Alicia Silverstone']",Joel Schumacher,Akiva Goldsman,,Elliot Goldenthal,Batman,Batman and Robin,107325195,,1997-06-20 00:00:00,125,PG-13,Action / Adventure
66,278703700,280320100,150000000,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Morgan Freeman', 'Gary Oldman', 'Ken Watanabe', 'Katie Holmes', 'Cillian Murphy', 'Tom Wilkinson*', 'Rutger Hauer*', 'Linus Roache*']",Christopher Nolan,,,,Batman,Batman Begins,205343774,206852432,2005-06-15 00:00:00,140,PG-13,Action / Adventure
67,368062200,,100000000,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell"", 'Drew Barrymore*', 'Jon Favreau*']",Joel Schumacher,Akiva Goldsman,Tim Burton,Elliot Goldenthal,Batman,Batman Forever,184031112,,1995-06-16 00:00:00,122,PG-13,Action / Adventure
68,341358000,,80000000,"['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer', 'Christopher Walken']",Tim Burton,Daniel Waters,,Danny Elfman,Batman,Batman Returns,162831698,,1992-06-19 00:00:00,126,PG-13,Action / Adventure
64,311330100,,250000000,"['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Jesse Eisenberg', 'Jeremy Irons', 'Amy Adams', 'Laurence Fishburne', 'Diane Lane', 'Holly Hunter', 'Kevin Costner* (Cameo)']",Zack Snyder,,,Hans Zimmer,Batman,Batman v Superman: Dawn of Justice,,,2016-03-25 00:00:00,151,PG-13,Action / Adventure
70,11751700,,,,,,,,Batman,Batman: Mask of the Phantasm,5617391,,1993-12-25 00:00:00,76,PG,Animation
62,646140500,647761600,185000000,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Morgan Freeman', 'Michael Caine', 'Gary Oldman', 'Maggie Gyllenhaal', 'Eric Roberts', 'Michael Jai White*', 'William Fichtner*', 'Cillian Murphy*']",Christopher Nolan,,,,Batman,The Dark Knight,533345358,534858444,2008-07-18 00:00:00,150,PG-13,Action / Adventure
63,500961700,,250000000,"['Christian Bale', 'Michael Caine', 'Anne Hathaway', 'Tom Hardy', 'Gary Oldman', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman', 'Matthew Modine', 'Juno Temple*', 'Cillian Murphy*', 'Liam Neeson*', 'Joey King*']",Christopher Nolan,,,Hans Zimmer,Batman,The Dark Knight Rises,448139099,,2012-07-20 00:00:00,165,PG-13,Action Thriller
71,,,,"['Will Arnett (Voice)', 'Michael Cera (Voice)', 'Rosario Dawson (Voice)', 'Zach Galifianakis (Voice)']",,,,,Batman,The LEGO Batman Movie,,,2017-02-10 00:00:00,,Not Yet Rated,Animation
72,8640600,,,"['Ethan Hawke', 'Julie Delpy']",Richard Linklater,,,,Before,Before Midnight,8114627,,2013-05-24 00:00:00,108,R,Drama
74,11070800,,2500000,"['Ethan Hawke', 'Julie Delpy']",Richard Linklater,,John Sloss (executive),,Before,Before Sunrise,5535405,,1995-01-27 00:00:00,101,R,Romance
73,8154500,,2700000,"['Ethan Hawke', 'Julie Delpy']",Richard Linklater,Julie Delpy,John Sloss (executive),,Before,Before Sunset,5820649,,2004-07-02 00:00:00,80,R,Romance
75,184012000,,,,,,,,Benji,Benji,39552000,,1974-10-25 00:00:00,86,G,Family
79,5348000,,,,,,,,Benji,Benji Off the Leash,3817362,,2004-08-20 00:00:00,97,PG,Family Adventure
76,49524600,,,,,,,,Benji,Benji the Hunted,22257624,,1987-06-05 00:00:00,88,G,Family Adventure
77,69178700,,,,,,,,Benji,For the Love of Benji,17732000,,1977-01-01 00:00:00,85,G,Family Adventure
78,20104000,,,,,,,,Benji,"Oh, Heavenly Dog!",6216067,,1980-07-11 00:00:00,103,PG,Unknown
81,58337500,,9000000,"['Morris Chestnut', 'Taye Diggs', 'Nia Long', 'Terrence Howard', 'Sanaa Lathan', 'Regina Hall*']",Malcolm D. Lee,Malcolm D. Lee,,,Best Man,The Best Man,34102780,,1999-10-22 00:00:00,121,R,Comedy / Drama
80,73506500,,17000000,"['Morris Chestnut', 'Taye Diggs', 'Regina Hall', 'Terrence Howard', 'Sanaa Lathan', 'Nia Long', 'Harold Perrineau']",Malcolm D. Lee,Malcolm D. Lee,Malcolm D. Lee,,Best Man,The Best Man Holiday,70525195,,2013-11-15 00:00:00,122,R,Comedy / Drama
82,,,,,Malcolm D. Lee,Malcolm D. Lee,Malcolm D. Lee,,Best Man,The Best Man Wedding,,,2016-04-19 00:00:00,,Not Yet Rated,Comedy
83,584205200,,,"['Eddie Murphy', 'Damon Wayans*']",Martin Brest,,Jerry Bruckheimer,,Beverly Hills Cop,Beverly Hills Cop,234760478,,1984-12-05 00:00:00,105,R,Action Comedy
86,,,,,Brett Ratner,,,,Beverly Hills Cop,Beverly Hills Cop,,,TBD,,Not Yet Rated,Action Comedy
84,341914500,,,"['Eddie Murphy', 'Chris Rock*']",Tony Scott,,Jerry Bruckheimer,,Beverly Hills Cop,Beverly Hills Cop II,153665036,,1987-05-20 00:00:00,103,R,Action Comedy
85,88696100,,50000000,,John Landis,,,,Beverly Hills Cop,Beverly Hills Cop III,42614912,,1994-05-25 00:00:00,105,R,Action Comedy
87,189752700,,30000000,"['Martin Lawrence', 'Nia Long', 'Paul Giamatti', 'Terrence Howard', 'Cedric the Entertainer*']",Raja Gosnell,Don Rhymer,,,Big Momma,Big Momma's House,117559438,,2000-06-02 00:00:00,98,PG-13,Action Comedy
88,93197500,,40000000,"['Martin Lawrence', 'Nia Long', 'Zachary Levi', 'Kat Dennings', 'Chloe Moretz']",John Whitesell,Don Rhymer,,,Big Momma,Big Momma's House 2,70165972,,2006-01-27 00:00:00,99,PG-13,Action Comedy
89,41967400,,32000000,"['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday', 'Jessica Lucas', 'Ana Ortiz', 'Ken Jeong*']",John Whitesell,,Arnon Milchan (executive),,Big Momma,"Big Mommas: Like Father, Like Son",37915414,,2011-02-18 00:00:00,107,PG-13,Action Comedy
91,130013500,,,"['Sanaa Lathan*', 'Wesley Snipes']",,David S. Goyer,,Mark Isham,Blade,Blade,70087718,,1998-08-21 00:00:00,120,R,Action Horror
90,123309900,,54000000,"['Wesley Snipes', 'Donnie Yen']",Guillermo del Toro,David S. Goyer,,Marco Beltrami,Blade,Blade II,82348319,,2002-03-22 00:00:00,117,R,Action Horror
92,73106800,,65000000,"['Wesley Snipes', 'Jessica Biel', 'Ryan Reynolds', 'Parker Posey']",David S. Goyer,David S. Goyer,,Ramin Djawadi,Blade,Blade: Trinity,52411906,,2004-12-08 00:00:00,114,R,Action Horror
97,,,120000000,"['Riz Ahmed', 'Vincent Cassel', 'Matt Damon', 'Tommy Lee Jones', 'Julia Stiles', 'Alicia Vikander']",Paul Greengrass,,,,Bourne,Jason Bourne,,,2016-07-29 00:00:00,,Not Yet Rated,Action
95,182178400,,60000000,"['Matt Damon', 'Franka Potente', 'Chris Cooper', 'Clive Owen*', 'Brian Cox', 'Gabriel Mann', 'Julia Stiles*']",Doug Liman,,,John Powell,Bourne,The Bourne Identity,121661683,,2002-06-14 00:00:00,118,PG-13,Action Thriller
96,126590400,,125000000,"['Jeremy Renner', 'Rachel Weisz', 'Edward Norton', 'Oscar Isaac', 'Joan Allen*', 'David Strathairn*', 'Albert Finney*', 'Scott Glenn*']",Tony Gilroy,,,James Newton Howard,Bourne,The Bourne Legacy,113203870,,2012-08-10 00:00:00,135,PG-13,Action
94,246909000,,75000000,"['Matt Damon', 'Franka Potente', 'Brian Cox', 'Julia Stiles', 'Karl Urban', 'Joan Allen', 'Michelle Monaghan*', 'Chris Cooper* (Cameo)']",Paul Greengrass,Tony Gilroy,,John Powell,Bourne,The Bourne Supremacy,176241941,,2004-07-23 00:00:00,108,PG-13,Action Thriller
93,287645100,,110000000,"['Matt Damon', 'Julia Stiles', 'David Strathairn', 'Scott Glenn', 'Paddy Considine*', 'Albert Finney', 'Joan Allen']",Paul Greengrass,,,John Powell,Bourne,The Bourne Ultimatum,227471070,,2007-08-03 00:00:00,111,PG-13,Action Thriller
99,56334600,,40000000,"['Renee Zellweger', 'Hugh Grant', 'Jim Broadbent', 'Colin Firth']",Beeban Kidron,,,Harry Gregson-Williams,Bridget Jones's Trilogy,Bridget Jones: The Edge of Reason,40226215,,2004-11-12 00:00:00,108,R,Romantic Comedy
100,,,35000000,"['Colin Firth', 'Renee Zellweger']",Sharon Maguire,,,,Bridget Jones's Trilogy,Bridget Jones's Baby,,,2016-09-16 00:00:00,,Unknown,Romantic Comedy
98,109969600,,25000000,"['Renee Zellweger', 'Hugh Grant', 'Jim Broadbent', 'Colin Firth']",Sharon Maguire,Andrew Davies,,Patrick Doyle,Bridget Jones's Trilogy,Bridget Jones's Diary,71543427,,2001-04-13 00:00:00,97,R,Romantic Comedy
103,,,,"['Tom Holland', 'Chris Evans', 'Robert Downey, Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Paul Bettany', 'Jeremy Renner', 'Don Cheadle', 'Elizabeth Olsen', 'Paul Rudd', 'Chadwick Boseman', 'Emily VanCamp', 'Daniel Bruhl', 'Frank Grillo', 'William Hurt', 'Martin Freeman']",,,Kevin Feige,Henry Jackman,Captain America,Captain America: Civil War,,,2016-05-06 00:00:00,146,PG-13,Action / Adventure
102,193590600,,140000000,"['Chris Evans', 'Hugo Weaving', 'Stanley Tucci', 'Tommy Lee Jones', 'Dominic Cooper', 'Neal McDonough', 'Hayley Atwell', 'Sebastian Stan', 'Toby Jones', 'Derek Luke', 'Samuel L. Jackson*']",Joe Johnston,,,Alan Silvestri,Captain America,Captain America: The First Avenger,176654505,,2011-07-22 00:00:00,125,PG-13,Action / Adventure
101,271400000,,170000000,"['Chris Evans', 'Scarlett Johansson', 'Samuel L. Jackson', 'Robert Redford', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Hayley Atwell', 'Emily VanCamp*', 'Toby Jones*']",,,,Henry Jackman,Captain America,Captain America: The Winter Soldier,259766572,,2014-04-04 00:00:00,136,PG-13,Action / Adventure
104,56206000,,2000000,,,,,,Care Bears,The Care Bears Movie,22934622,,1985-03-29 00:00:00,77,G,Animation
105,20027200,,,,,,,,Care Bears,The Care Bears Movie 2,8540346,,1986-03-07 00:00:00,77,G,Animation
106,5803000,,,,,,,,Care Bears,The Care Bears Movie 3,2608000,,1987-08-07 00:00:00,44,G,Animation
107,324201800,,120000000,"['Owen Wilson (Voice)', 'Paul Newman (Voice)', 'Bonnie Hunt (Voice)', 'Larry the Cable Guy (Voice)', 'Michael Keaton* (Voice)']",John Lasseter,,Darla K. Anderson,Randy Newman,Cars,Cars,244082982,,2006-06-09 00:00:00,116,G,Animation
108,208321700,,200000000,"['Owen Wilson (Voice)', 'Larry the Cable Guy (Voice)', 'Michael Caine (Voice)', 'Emily Mortimer (Voice)', 'Bonnie Hunt (Voice)', 'Tony Shalhoub (Voice)', 'Cheech Marin (Voice)', 'Jason Isaacs* (Voice)', 'Joe Mantegna* (Voice)']",,,,Michael Giacchino,Cars,Cars 2,191452396,,2011-06-24 00:00:00,113,G,Animation
109,,,,,,,,,Cars,Cars 3,,,2017-06-16 00:00:00,,Unknown,Animation
111,59408200,,25000000,"['Jennifer Tilly', 'Katherine Heigl']",Ronny Yu,,,Graeme Revell,Child's Play,Bride of Chucky,32383850,,1998-10-16 00:00:00,89,R,Horror Comedy
110,70372000,,,,,,,,Child's Play,Child's Play,33244684,,1988-11-11 00:00:00,87,R,Horror
112,58620300,,,,,,,Graeme Revell,Child's Play,Child's Play 2,28501605,,1990-11-09 00:00:00,84,R,Horror
114,30915500,,,,,,,,Child's Play,Child's Play 3,14960255,,1991-08-30 00:00:00,90,R,Horror
113,23933700,,12000000,,,,,,Child's Play,Seed of Chucky,17083732,,2004-11-12 00:00:00,87,R,Horror Comedy
118,117081500,,,,,,,,Conan,Conan the Barbarian,39565475,,1982-05-14 00:00:00,129,R,Action Fantasy
120,22985900,,90000000,"['Jason Momoa', 'Stephen Lang', 'Rachel Nichols', 'Ron Perlman', 'Rose McGowan']",Marcus Nispel,,,Tyler Bates,Conan,Conan the Barbarian,21295021,,2011-08-19 00:00:00,112,R,Action
119,80376700,,,,,,,,Conan,Conan the Destroyer,31042035,,1984-06-29 00:00:00,103,PG,Action Fantasy
121,401961400,,,,,,,,Crocodile Dundee,Crocodile Dundee,174803506,,1986-09-26 00:00:00,93,PG-13,Adventure Comedy
122,231378100,,,,,,,,Crocodile Dundee,Crocodile Dundee II,109306210,,1988-05-25 00:00:00,110,PG,Adventure Comedy
123,39404700,,,,,,,,Crocodile Dundee,Crocodile Dundee in Los Angeles,25635682,,2001-04-20 00:00:00,94,PG,Comedy
131,,,,"['Amber Heard', 'Jason Momoa']",James Wan,,,,DC Extended Universe,Aquaman,,,2018-07-27 00:00:00,,Not Yet Rated,Action / Adventure
136,,,,,,,,,DC Extended Universe,Cyborg,,,2020-04-03 00:00:00,,Not Yet Rated,Action / Adventure
137,,,,,,,,,DC Extended Universe,Green Lantern Corps,,,2020-06-19 00:00:00,,Not Yet Rated,Action / Adventure
134,,,,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",Zack Snyder,Chris Terrio,,,DC Extended Universe,Justice League Part Two,,,2019-06-14 00:00:00,,Not Yet Rated,Action / Adventure
126,302159400,,225000000,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane', 'Laurence Fishburne', 'Ayelet Zurer', 'Russell Crowe', 'Christopher Meloni']",Zack Snyder,,,Hans Zimmer,DC Extended Universe,Man of Steel,291045518,,2013-06-14 00:00:00,143,PG-13,Action / Adventure
133,,,,,,,,,DC Extended Universe,Shazam!,,,2019-04-05 00:00:00,,Not Yet Rated,Action / Adventure
127,,,,"['Ben Affleck (Cameo)', 'Common', 'Viola Davis', 'Cara Delevigne', 'Scott Eastwood', 'Jay Hernandez', 'Joel Kinnaman', 'Will Smith', 'Margot Robbie', 'Jared Leto', 'Jai Courtney']",David Ayer,David Ayer,,Steven Price,DC Extended Universe,Suicide Squad,,,2016-08-05 00:00:00,,Not Yet Rated,Action / Adventure
130,,,,,,,,,DC Extended Universe,The Flash,,,2018-03-16 00:00:00,,Not Yet Rated,Action / Adventure
