date,speaker,url,party,state,topic
2015-01-08,LEAHY,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S94-2,D,VT,unknown
2015-01-08,COCHRAN,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S94-3,R,MS,unknown
2015-01-08,BLUMENTHAL,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S95-1,D,CT,unknown
2015-01-08,COCHRAN,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S95-2,R,MS,unknown
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S95-3,R,NV,opioid epidemic
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,HELLER,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S99-1,R,NV,budget
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S101-1,I,ME,unknown
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S101-1,I,ME,unknown
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S101-1,I,ME,unknown
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S101-1,I,ME,unknown
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S101-1,I,ME,unknown
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S101-1,I,ME,unknown
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S108-1,I,ME,Veterans benefits
2015-01-08,KING,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S108-1,I,ME,Veterans benefits
2015-01-08,CARDIN,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S108-2,D,MD,unknown
2015-01-08,WYDEN,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S109-1,D,OR,unknown
2015-01-08,CAPITO,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S110-1,R,WV,violent extreamism
2015-01-08,CAPITO,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S110-1,R,WV,violent extreamism
2015-01-08,WARREN,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S110-3,D,MA,unknown
2015-01-08,ERNST,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S118-4,R,IA,Veterans benefits
2015-01-08,ERNST,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S118-4,R,IA,Veterans benefits
2015-01-08,ERNST,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S118-4,R,IA,Veterans benefits
2015-01-08,ERNST,http://www.congress.gov/congressional-record/2015/01/08/senate-section/article/S118-4,R,IA,Veterans benefits
2015-01-09,HOEVEN,http://www.congress.gov/congressional-record/2015/01/09/senate-section/article/S121-7,R,ND,drones
2015-01-09,VITTER,http://www.congress.gov/congressional-record/2015/01/09/senate-section/article/S128-2,R,LA,unknown
2015-01-09,SHAHEEN,http://www.congress.gov/congressional-record/2015/01/09/senate-section/article/S128-3,D,NH,unknown
2015-01-12,McCONNELL,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S133-7,R,KY,unknown
2015-01-12,DURBIN,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S134-2,D,IL,unknown
2015-01-12,DURBIN,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S134-3,D,IL,unknown
2015-01-12,DURBIN,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-1,D,IL,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,KAINE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S136-3,D,VA,unknown
2015-01-12,McCASKILL,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S147-1,D,MO,unknown
2015-01-12,COONS,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S148-1,D,DE,unknown
2015-01-12,WARNER,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S148-2,D,VA,unknown
2015-01-12,FLAKE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S150-3,R,AZ,keystone pipeline
2015-01-12,FLAKE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S150-3,R,AZ,keystone pipeline
2015-01-12,FLAKE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S150-3,R,AZ,keystone pipeline
2015-01-12,FLAKE,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S150-3,R,AZ,keystone pipeline
2015-01-12,PORTMAN,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S151-3,R,OH,FAA and aircraft systems
2015-01-12,PORTMAN,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S151-3,R,OH,FAA and aircraft systems
2015-01-12,BOXER,http://www.congress.gov/congressional-record/2015/01/12/senate-section/article/S155-6,D,CA,unknown
2015-01-13,McCONNELL,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S159-6,R,KY,unknown
2015-01-13,McCONNELL,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S159-7,R,KY,unknown
2015-01-13,DURBIN,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S160-2,D,IL,unknown
2015-01-13,DURBIN,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S161-1,D,IL,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,TOOMEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S174-2,R,PA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S184-1,R,LA,unknown
2015-01-13,GRASSLEY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S197-2,R,IA,unknown
2015-01-13,LEAHY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S198-1,D,VT,unknown
2015-01-13,CARPER,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S198-2,D,DE,unknown
2015-01-13,AYOTTE,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S199-1,R,NH,unknown
2015-01-13,HELLER,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S199-2,R,NV,unknown
2015-01-13,HELLER,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-1,R,NV,unknown
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
2015-01-13,CASSIDY,http://www.congress.gov/congressional-record/2015/01/13/senate-section/article/S200-8,R,LA,opioid epidemic
